징수년,징수시도,징수시군구,징수분류,징수금액
2014,대전,동구,취득세,26600177
2014,대전,중구,취득세,26045316
2014,대전,서구,취득세,82258695
2014,대전,유성구,취득세,128855403
2014,대전,대덕구,취득세,20863762
2014,대전,동구,주민세,791293
2014,대전,중구,주민세,900571
2014,대전,서구,주민세,1696565
2014,대전,유성구,주민세,1227247
2014,대전,대덕구,주민세,880092
2014,대전,동구,지방소득세,13038398
2014,대전,중구,지방소득세,26089499
2014,대전,서구,지방소득세,56941019
2014,대전,유성구,지방소득세,68278210
2014,대전,대덕구,지방소득세,45602460
2015,대전,동구,취득세,30923504
2015,대전,중구,취득세,31348638
2015,대전,서구,취득세,70507930
2015,대전,유성구,취득세,113233241
2015,대전,대덕구,취득세,31415378
2015,대전,동구,주민세,800987
2015,대전,중구,주민세,880362
2015,대전,서구,주민세,1688632
2015,대전,유성구,주민세,1285218
2015,대전,대덕구,주민세,884232
2015,대전,동구,지방소득세,14838665
2015,대전,중구,지방소득세,30613150
2015,대전,서구,지방소득세,118378502
2015,대전,유성구,지방소득세,82864728
2015,대전,대덕구,지방소득세,55539506
2016,대전,동구,취득세,34592854
2016,대전,중구,취득세,30744801
2016,대전,서구,취득세,90382413
2016,대전,유성구,취득세,101299471
2016,대전,대덕구,취득세,23115873
2016,대전,동구,주민세,1448563
2016,대전,중구,주민세,1617905
2016,대전,서구,주민세,3163143
2016,대전,유성구,주민세,2400434
2016,대전,대덕구,주민세,1525913
2016,대전,동구,지방소득세,16112822
2016,대전,중구,지방소득세,26489314
2016,대전,서구,지방소득세,83693026
2016,대전,유성구,지방소득세,102665672
2016,대전,대덕구,지방소득세,58336939
