징수년,징수시도,징수시군구,징수분류,징수금액
2014,전남,목포시,취득세,44440714
2014,전남,여수시,취득세,57116905
2014,전남,순천시,취득세,59367291
2014,전남,나주시,취득세,55413602
2014,전남,광양시,취득세,38718807
2014,전남,담양군,취득세,11527738
2014,전남,곡성군,취득세,4717685
2014,전남,구례군,취득세,5112319
2014,전남,고흥군,취득세,8638163
2014,전남,보성군,취득세,7706899
2014,전남,화순군,취득세,12883836
2014,전남,장흥군,취득세,6241658
2014,전남,강진군,취득세,5448551
2014,전남,해남군,취득세,12048572
2014,전남,영암군,취득세,26391530
2014,전남,무안군,취득세,24421539
2014,전남,함평군,취득세,5956782
2014,전남,영광군,취득세,8960949
2014,전남,장성군,취득세,8695112
2014,전남,완도군,취득세,6392302
2014,전남,진도군,취득세,3724608
2014,전남,신안군,취득세,6492932
2014,전남,목포시,주민세,2531974
2014,전남,여수시,주민세,10626906
2014,전남,순천시,주민세,3164429
2014,전남,나주시,주민세,1771513
2014,전남,광양시,주민세,10081613
2014,전남,담양군,주민세,586560
2014,전남,곡성군,주민세,782552
2014,전남,구례군,주민세,253144
2014,전남,고흥군,주민세,498350
2014,전남,보성군,주민세,297372
2014,전남,화순군,주민세,815199
2014,전남,장흥군,주민세,313861
2014,전남,강진군,주민세,286883
2014,전남,해남군,주민세,712012
2014,전남,영암군,주민세,4545818
2014,전남,무안군,주민세,625042
2014,전남,함평군,주민세,314311
2014,전남,영광군,주민세,1408883
2014,전남,장성군,주민세,799976
2014,전남,완도군,주민세,268751
2014,전남,진도군,주민세,151718
2014,전남,신안군,주민세,254687
2014,전남,목포시,지방소득세,17969522
2014,전남,여수시,지방소득세,68552553
2014,전남,순천시,지방소득세,24137122
2014,전남,나주시,지방소득세,10645787
2014,전남,광양시,지방소득세,40214273
2014,전남,담양군,지방소득세,3340206
2014,전남,곡성군,지방소득세,3194005
2014,전남,구례군,지방소득세,1253114
2014,전남,고흥군,지방소득세,2570344
2014,전남,보성군,지방소득세,2140875
2014,전남,화순군,지방소득세,5802750
2014,전남,장흥군,지방소득세,1864694
2014,전남,강진군,지방소득세,1809244
2014,전남,해남군,지방소득세,3747263
2014,전남,영암군,지방소득세,12398980
2014,전남,무안군,지방소득세,5771511
2014,전남,함평군,지방소득세,1799067
2014,전남,영광군,지방소득세,4152393
2014,전남,장성군,지방소득세,5134989
2014,전남,완도군,지방소득세,2206698
2014,전남,진도군,지방소득세,1076915
2014,전남,신안군,지방소득세,1604472
2015,전남,목포시,취득세,43813893
2015,전남,여수시,취득세,74709270
2015,전남,순천시,취득세,81761279
2015,전남,나주시,취득세,86195429
2015,전남,광양시,취득세,40748523
2015,전남,담양군,취득세,14899563
2015,전남,곡성군,취득세,4920778
2015,전남,구례군,취득세,5280921
2015,전남,고흥군,취득세,9805549
2015,전남,보성군,취득세,25078730
2015,전남,화순군,취득세,19516091
2015,전남,장흥군,취득세,6076587
2015,전남,강진군,취득세,7255853
2015,전남,해남군,취득세,16485805
2015,전남,영암군,취득세,17959835
2015,전남,무안군,취득세,29064077
2015,전남,함평군,취득세,5803220
2015,전남,영광군,취득세,9550312
2015,전남,장성군,취득세,10977114
2015,전남,완도군,취득세,7566212
2015,전남,진도군,취득세,5325770
2015,전남,신안군,취득세,6498131
2015,전남,목포시,주민세,2587090
2015,전남,여수시,주민세,10980763
2015,전남,순천시,주민세,3598684
2015,전남,나주시,주민세,3576061
2015,전남,광양시,주민세,10236618
2015,전남,담양군,주민세,675913
2015,전남,곡성군,주민세,912423
2015,전남,구례군,주민세,313998
2015,전남,고흥군,주민세,559795
2015,전남,보성군,주민세,388463
2015,전남,화순군,주민세,1234970
2015,전남,장흥군,주민세,322029
2015,전남,강진군,주민세,355762
2015,전남,해남군,주민세,860467
2015,전남,영암군,주민세,5203005
2015,전남,무안군,주민세,778439
2015,전남,함평군,주민세,342279
2015,전남,영광군,주민세,1611155
2015,전남,장성군,주민세,897691
2015,전남,완도군,주민세,344401
2015,전남,진도군,주민세,194981
2015,전남,신안군,주민세,306611
2015,전남,목포시,지방소득세,20000493
2015,전남,여수시,지방소득세,74019577
2015,전남,순천시,지방소득세,26455027
2015,전남,나주시,지방소득세,19808769
2015,전남,광양시,지방소득세,58777463
2015,전남,담양군,지방소득세,4598329
2015,전남,곡성군,지방소득세,4818496
2015,전남,구례군,지방소득세,1425470
2015,전남,고흥군,지방소득세,3280269
2015,전남,보성군,지방소득세,2426770
2015,전남,화순군,지방소득세,7341167
2015,전남,장흥군,지방소득세,2179307
2015,전남,강진군,지방소득세,2036626
2015,전남,해남군,지방소득세,4431200
2015,전남,영암군,지방소득세,17730001
2015,전남,무안군,지방소득세,6088942
2015,전남,함평군,지방소득세,2220049
2015,전남,영광군,지방소득세,16595331
2015,전남,장성군,지방소득세,6689576
2015,전남,완도군,지방소득세,2688126
2015,전남,진도군,지방소득세,1250269
2015,전남,신안군,지방소득세,1687228
2016,전남,목포시,취득세,50047366
2016,전남,여수시,취득세,94868088
2016,전남,순천시,취득세,65263880
2016,전남,나주시,취득세,87719655
2016,전남,광양시,취득세,48234410
2016,전남,담양군,취득세,17027373
2016,전남,곡성군,취득세,6441137
2016,전남,구례군,취득세,5567674
2016,전남,고흥군,취득세,9997430
2016,전남,보성군,취득세,31040716
2016,전남,화순군,취득세,17424655
2016,전남,장흥군,취득세,9906175
